tipo;sinal;limite;0;1;2;3;4;5
SOL;max;710,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
SOL;max;720,00;1,8%;0,2%;0,0%;0,0%;0,0%;0,0%
SOL;max;740,00;4,5%;0,6%;0,0%;0,0%;0,0%;0,0%
SOL;max;754,00;6,3%;0,8%;0,0%;0,0%;0,0%;0,0%
SOL;max;822,00;7,9%;4,5%;1,0%;0,0%;0,0%;0,0%
SOL;max;931,00;10,1%;6,7%;3,5%;0,0%;0,0%;0,0%
SOL;max;1015,00;11,3%;7,9%;5,7%;1,4%;0,0%;0,0%
SOL;max;1075,00;12,1%;8,8%;6,5%;3,3%;0,0%;0,0%
SOL;max;1154,00;13,1%;10,7%;8,3%;5,1%;2,7%;0,2%
SOL;max;1237,00;14,1%;11,8%;9,3%;6,1%;3,6%;1,2%
SOL;max;1333,00;15,2%;12,8%;10,5%;7,0%;4,6%;2,2%
SOL;max;1437,00;16,2%;13,8%;11,4%;8,0%;6,5%;4,0%
SOL;max;1577,00;17,2%;14,8%;12,3%;10,0%;7,5%;5,0%
SOL;max;1727,00;18,6%;16,3%;14,8%;11,4%;8,9%;6,5%
SOL;max;1887,00;19,9%;18,2%;17,3%;14,5%;12,5%;11,7%
SOL;max;1995,00;20,9%;19,3%;18,2%;15,5%;14,5%;12,5%
SOL;max;2109,00;21,9%;20,2%;19,2%;16,4%;15,5%;13,5%
SOL;max;2238,00;22,8%;21,3%;20,3%;17,5%;16,5%;14,5%
SOL;max;2389,00;23,8%;22,2%;21,3%;18,5%;17,6%;15,5%
SOL;max;2558,00;24,8%;24,2%;22,2%;20,4%;18,5%;17,6%
SOL;max;2792,00;25,8%;25,1%;23,3%;21,4%;19,4%;18,5%
SOL;max;3132,00;27,0%;26,4%;24,5%;22,5%;20,6%;19,6%
SOL;max;3566,00;28,6%;28,3%;26,8%;25,2%;24,6%;23,0%
SOL;max;4156,00;29,7%;29,5%;27,7%;26,2%;25,6%;25,0%
SOL;max;4692,00;31,4%;31,0%;29,4%;27,6%;27,0%;26,5%
SOL;max;5241,00;32,3%;31,8%;31,3%;28,9%;28,0%;27,4%
SOL;max;5933,00;33,3%;32,8%;32,2%;29,8%;29,2%;28,4%
SOL;max;6788,00;35,3%;34,9%;34,1%;32,2%;31,8%;31,5%
SOL;max;8011,00;36,3%;35,9%;35,5%;34,2%;32,8%;32,4%
SOL;max;9647,00;38,2%;37,8%;37,4%;36,2%;35,8%;34,4%
SOL;max;11384,00;39,2%;38,8%;38,4%;37,5%;36,7%;35,4%
SOL;max;19024,00;40,2%;39,8%;39,4%;38,5%;38,1%;36,4%
SOL;max;20403,00;41,2%;40,8%;40,4%;39,5%;39,1%;37,3%
SOL;max;22954,00;41,9%;41,7%;41,4%;40,5%;40,1%;38,5%
SOL;max;25504,00;42,9%;42,7%;42,3%;41,4%;41,1%;39,7%
SOL;min;25504,00;43,8%;43,6%;43,3%;42,4%;42,0%;40,7%
CAS1;max;710,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
CAS1;max;740,00;3,3%;0,0%;0,0%;0,0%;0,0%;0,0%
CAS1;max;761,00;3,3%;0,0%;0,0%;0,0%;0,0%;0,0%
CAS1;max;802,00;4,7%;0,9%;0,0%;0,0%;0,0%;0,0%
CAS1;max;844,00;5,6%;1,8%;0,9%;0,0%;0,0%;0,0%
CAS1;max;894,00;6,5%;3,7%;1,2%;0,0%;0,0%;0,0%
CAS1;max;983,00;7,3%;4,6%;2,9%;0,0%;0,0%;0,0%
CAS1;max;1091,00;8,1%;5,5%;3,7%;1,0%;0,0%;0,0%
CAS1;max;1237,00;9,2%;6,9%;4,7%;2,0%;0,0%;0,0%
CAS1;max;1417,00;10,7%;8,9%;7,1%;4,3%;2,6%;1,7%
CAS1;max;1644,00;11,7%;10,0%;8,1%;6,3%;4,5%;2,7%
CAS1;max;1749,00;13,1%;11,4%;10,6%;7,7%;5,9%;5,1%
CAS1;max;1866,00;14,0%;12,4%;11,7%;9,0%;7,3%;6,5%
CAS1;max;2016,00;15,0%;13,3%;12,5%;10,0%;9,2%;7,4%
CAS1;max;2177,00;16,0%;14,3%;13,5%;10,9%;10,2%;8,5%
CAS1;max;2369,00;17,0%;16,3%;14,6%;11,9%;11,1%;9,5%
CAS1;max;2590,00;17,8%;17,2%;15,6%;13,8%;12,1%;11,4%
CAS1;max;2961,00;18,9%;18,2%;16,6%;14,8%;13,1%;12,3%
CAS1;max;3387,00;21,5%;21,4%;19,8%;18,4%;17,1%;16,7%
CAS1;max;3644,00;22,4%;22,3%;21,0%;19,4%;19,0%;17,6%
CAS1;max;3917,00;23,4%;23,3%;22,0%;20,6%;20,0%;18,6%
CAS1;max;4248,00;24,4%;24,3%;22,9%;21,6%;21,2%;20,6%
CAS1;max;4646,00;25,9%;25,3%;23,9%;22,5%;22,1%;21,8%
CAS1;max;5122,00;26,9%;26,3%;25,9%;23,5%;23,1%;22,7%
CAS1;max;5705,00;27,8%;27,2%;26,9%;24,5%;24,1%;23,7%
CAS1;max;6439,00;28,8%;28,2%;27,8%;25,5%;25,1%;24,7%
CAS1;max;7389,00;29,7%;29,6%;29,2%;27,0%;26,9%;26,7%
CAS1;max;8517,00;30,7%;30,6%;30,4%;29,0%;27,8%;27,6%
CAS1;max;9421,00;32,1%;32,0%;31,9%;30,7%;29,3%;29,1%
CAS1;max;10543,00;33,1%;33,0%;32,8%;31,7%;31,5%;30,0%
CAS1;max;14140,00;34,4%;34,3%;33,8%;32,6%;32,4%;31,3%
CAS1;max;20300,00;36,4%;36,3%;36,2%;35,1%;34,9%;33,7%
CAS1;max;22954,00;37,3%;37,2%;37,1%;36,5%;35,9%;34,7%
CAS1;max;25504,00;38,3%;38,2%;38,1%;37,4%;37,2%;35,7%
CAS1;max;28564,00;39,3%;39,2%;39,1%;38,4%;38,2%;37,0%
CAS1;min;28564,00;40,3%;40,2%;40,1%;39,4%;39,2%;38,0%
CAS2;max;710,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
CAS2;max;720,00;1,8%;1,7%;0,0%;0,0%;0,0%;0,0%
CAS2;max;740,00;4,5%;3,4%;0,5%;0,0%;0,0%;0,0%
CAS2;max;754,00;6,3%;3,7%;1,0%;0,0%;0,0%;0,0%
CAS2;max;822,00;7,9%;5,1%;3,4%;2,5%;0,6%;0,0%
CAS2;max;931,00;10,1%;7,3%;6,5%;3,8%;3,1%;1,2%
CAS2;max;1015,00;11,3%;8,6%;7,8%;5,1%;4,4%;3,1%
CAS2;max;1075,00;12,1%;9,5%;8,6%;6,0%;4,8%;3,9%
CAS2;max;1154,00;13,1%;11,4%;10,6%;7,9%;7,1%;5,3%
CAS2;max;1237,00;14,1%;12,4%;11,5%;8,9%;8,0%;6,3%
CAS2;max;1333,00;15,1%;14,4%;12,6%;10,7%;9,0%;8,1%
CAS2;max;1437,00;16,1%;15,3%;13,6%;11,9%;10,0%;9,2%
CAS2;max;1577,00;17,1%;16,4%;14,6%;12,8%;11,1%;10,2%
CAS2;max;1727,00;18,5%;17,7%;16,1%;14,3%;13,4%;11,7%
CAS2;max;1887,00;19,9%;19,3%;17,6%;16,0%;15,2%;13,5%
CAS2;max;1995,00;20,9%;20,4%;18,5%;16,9%;16,1%;14,5%
CAS2;max;2109,00;21,9%;21,4%;19,6%;17,7%;17,0%;16,3%
CAS2;max;2238,00;22,8%;22,3%;20,7%;18,9%;17,9%;17,3%
CAS2;max;2389,00;23,8%;23,4%;22,6%;19,9%;19,1%;18,2%
CAS2;max;2558,00;24,8%;24,4%;23,6%;21,0%;20,2%;19,4%
CAS2;max;2792,00;25,7%;25,2%;24,6%;21,9%;21,2%;20,4%
CAS2;max;3132,00;26,9%;26,5%;25,7%;23,1%;22,3%;21,6%
CAS2;max;3566,00;28,5%;28,4%;28,0%;25,7%;25,3%;24,9%
CAS2;max;4156,00;29,6%;29,5%;29,0%;27,6%;26,3%;25,9%
CAS2;max;4692,00;31,4%;31,1%;30,7%;29,0%;27,7%;27,3%
