tipo;sinal;limite;maximo;parcela_abater;var1;var2;adicional;var3
SOLD;max;820;0,00%;0;0;0;0;0
SOLD;max;935;0,00%;0,00%;0;0;34,29;0
SOLD;max;989;0,00%;0,00%;0;0;34,29;0
SOLD;max;1125;0,00%;0;0;0;34,29;0
SOLD;max;1175;0,00%;0;0;0;34,29;0
SOLD;max;1769;3,75%;44,07;0;0;34,29;1,3
SOLD;max;2057;8,00%;119,25;0;0;34,29;2,2
SOLD;max;2408;10,65%;173,76;0;0;34,29;3,4
SOLD;max;3201;19,36%;383,44;0;0;34,29;7,4
SOLD;max;5492;40,05%;1045,8;0;0;34,29;21
SOLD;max;20021;44,95%;1314,64;0;0;34,29;38,4
SOLD;min;20021;47,17%;1760,1;0;0;34,29;-1
SOLCAS2;max;820;0,00%;0;0;0;0;0
SOLCAS2;max;935;0,00%;0,00%;0;0;21,43;0
SOLCAS2;max;989;0,00%;0,00%;0;0;21,43;0
SOLCAS2;max;1125;0,00%;0;0;0;21,43;0
SOLCAS2;max;1175;0,00%;0;0;0;21,43;0
SOLCAS2;max;1769;3,75%;44,07;0;0;21,43;1,3
SOLCAS2;max;2057;8,00%;119,25;0;0;21,43;2,2
SOLCAS2;max;2408;10,65%;173,76;0;0;21,43;3,4
SOLCAS2;max;3201;19,36%;383,44;0;0;21,43;7,4
SOLCAS2;max;5492;40,05%;1045,8;0;0;21,43;21
SOLCAS2;max;20021;44,95%;1314,64;0;0;21,43;38,4
SOLCAS2;min;20021;47,17%;1760,1;0;0;21,43;-1
CAS1;max;904;0,00%;0;0;0;0;0
CAS1;max;935;0,00%;0,00%;0;0;42,86;0
CAS1;max;989;0,00%;0,00%;0;0;42,86;0
CAS1;max;1070;0,00%;0;0;0;42,86;0
CAS1;max;1394;0,00%;0;0;0;42,86;0
CAS1;max;1912;1,65%;23,01;0;0;42,86;0,4
CAS1;max;2178;5,05%;87,95;0;0;42,86;1
CAS1;max;2671;5,91%;106,69;0;0;42,86;1,9
CAS1;max;3284;12,97%;295,33;0;0;42,86;4
CAS1;max;5906;30,72%;878,33;0;0;42,86;15,8
CAS1;max;20064;38,72%;1350,25;0;0;42,86;32
CAS1;min;20064;47,17%;3046,68;0;0;42,86;-1
SOLCAS2+DEF;max;1677;0,00%;0;0;0;0;0
SOLCAS2+DEF;max;2012;5,00%;83,83;0;0;0;0,8
SOLCAS2+DEF;max;2428;8,00%;144,2;0;0;0;2,1
SOLCAS2+DEF;max;4376;10,65%;208,55;0;0;0;5,9
SOLCAS2+DEF;max;4634;19,36%;589,61;0;0;0;6,6
SOLCAS2+DEF;max;6621;40,05%;1548,47;0;0;0;16,7
SOLCAS2+DEF;max;20265;44,95%;1872,58;0;0;0;35,7
SOLCAS2+DEF;min;20265;47,17%;2323,47;0;0;0;-1
SOLD+DEF;max;1919;0,00%;0;0;0;0;0
SOLD+DEF;max;2012;5,53%;106,1;0;0;42,86;0,3
SOLD+DEF;max;2785;8,00%;155,82;0;0;42,86;2,4
SOLD+DEF;max;4394;17,75%;427,41;0;0;42,86;8
SOLD+DEF;max;6687;34,84%;1178,52;0;0;42,86;17,2
SOLD+DEF;max;6978;40,05%;1526,7;0;0;42,86;18,2
SOLD+DEF;max;20265;44,95%;1868,29;0;0;42,86;35,7
SOLD+DEF;min;20265;47,17%;2319,18;0;0;42,86;-1
CAS2D+DEF;max;1651;0,00%;0;0;0;0;0
CAS2D+DEF;max;2023;5,50%;90,81;0;0;21,43;1
CAS2D+DEF;max;2441;6,25%;105,98;0;0;21,43;1,9
CAS2D+DEF;max;3037;9,60%;187,75;0;0;21,43;3,4
CAS2D+DEF;max;4394;17,75%;435,26;0;0;21,43;7,8
CAS2D+DEF;max;6687;34,84%;1186,37;0;0;21,43;17,1
CAS2D+DEF;max;6978;40,05%;1534,55;0;0;21,43;18,1
CAS2D+DEF;max;20265;44,95%;1876,14;0;0;21,43;35,7
CAS2D+DEF;min;20265;47,17%;2327,03;0;0;21,43;-1
CAS1+DEF;max;2302;0,00%;0;0;0;0;0
CAS1+DEF;max;3394;7,09%;163,15;0;0;42,86;2,3
CAS1+DEF;max;3652;12,97%;362,8;0;0;42,86;3
CAS1+DEF;max;6621;27,65%;898,97;0;0;42,86;14,1
CAS1+DEF;max;20265;42,44%;1878,34;0;0;42,86;33,2
CAS1+DEF;min;20265;47,17%;2836,1;0;0;42,86;-1
